player,runs,boundaries,balls_faced,wickets,balls_bowled,runs_conceded,matches,batting_avg,batting_strike_rate,boundaries_percent,bowling_economy,bowling_avg,bowling_strike_rate,catches,Nationality
AD Mathews,724,73,599,27,807,1095,46,15.74,120.87,12.19,8.14,40.56,29.89,19,Overseas
AD Nath,90,9,99,0,0,0,10,9,90.91,9.09,0,0,0,2,Indian
AD Russell,2039,313,1212,89,1484,2214,95,21.46,168.23,25.83,8.95,24.88,16.67,23,Overseas
AF Milne,23,1,31,7,217,339,10,2.3,74.19,3.23,9.37,48.43,31,7,Overseas
AG Murtaza,10,1,14,9,269,322,12,0.83,71.43,7.14,7.18,35.78,29.89,3,Overseas
AG Paunikar,49,9,61,0,0,0,5,9.8,80.33,14.75,0,0,0,1,Indian
AJ Finch,2092,292,1696,1,44,67,90,23.24,123.35,17.22,9.14,66.99,44,29,Overseas
AJ Turner,3,0,11,0,0,0,4,0.75,27.27,0,0,0,0,0,Overseas
AJ Tye,91,11,79,42,714,1005,30,3.03,115.19,13.92,8.45,23.93,17,7,Overseas
AK Markram,527,60,400,1,61,87,19,27.74,131.75,15,8.56,86.99,60.99,9,Overseas
AL Menaria,401,42,367,3,113,144,25,16.04,109.26,11.44,7.65,48,37.67,4,Indian
AM Nayar,672,75,588,9,239,323,51,13.18,114.29,12.76,8.11,35.89,26.56,13,Indian
AM Rahane,4074,511,3465,1,6,5,148,27.53,117.58,14.75,5,5,6,63,Indian
AN Ahmed,36,5,27,12,362,515,17,2.12,133.33,18.52,8.54,42.92,30.17,2,Indian
AN Ghosh,7,1,8,0,0,0,2,3.5,87.5,12.5,0,0,0,1,Indian
AP Dole,34,4,23,5,73,114,3,11.33,147.83,17.39,9.37,22.8,14.6,2,Indian
AP Majumdar,87,9,77,0,0,0,4,21.75,112.99,11.69,0,0,0,0,Indian
AP Tare,339,51,285,0,0,0,27,12.56,118.95,17.89,0,0,0,3,Indian
AR Bawne,12,1,12,0,0,0,1,12,100,8.33,0,0,0,0,Indian
AR Patel,1135,121,919,101,2599,3140,122,9.3,123.5,13.17,7.25,31.09,25.73,51,Indian
AS Joseph,20,2,20,13,240,358,12,1.67,100,10,8.95,27.54,18.46,1,Overseas
AS Rajpoot,26,3,41,24,567,844,29,0.9,63.41,7.32,8.93,35.17,23.62,3,Indian
AS Raut,194,20,172,0,30,45,17,11.41,112.79,11.63,9,450000,300000,10,Indian
AS Roy,0,0,2,2,57,66,3,0,0,0,6.95,33,28.5,5,Indian
AS Yadav,49,7,40,0,0,0,6,8.17,122.5,17.5,0,0,0,1,Indian
AT Carey,32,1,29,0,0,0,3,10.67,110.34,3.45,0,0,0,2,Overseas
AT Rayudu,4190,513,3375,0,0,0,173,24.22,124.15,15.2,0,0,0,62,Indian
AUK Pathan,39,7,26,0,41,63,7,5.57,150,26.92,9.22,630000,410000,2,Indian
Abdul Samad,228,26,164,2,55,113,19,12,139.02,15.85,12.33,56.5,27.5,14,Indian
Abdur Razzak,0,0,2,0,14,29,1,0,0,0,12.43,290000,140000,0,Overseas
Abhishek Sharma,667,89,511,7,161,218,36,18.53,130.53,17.42,8.12,31.14,23,6,Indian
Akash Deep,0,0,2,5,119,206,5,0,0,0,10.39,41.2,23.8,1,Indian
Aman Hakim Khan,5,1,3,0,6,13,1,5,166.67,33.33,13,130000,60000,0,Indian
Anirudh Singh,63,7,69,0,0,0,4,15.75,91.3,10.14,0,0,0,3,Indian
Ankit Sharma,87,11,69,12,375,453,21,4.14,126.09,15.94,7.25,37.75,31.25,4,Indian
Ankit Soni,7,1,9,2,112,145,6,1.17,77.78,11.11,7.77,72.5,56,1,Indian
Anmolpreet Singh,29,4,27,0,0,0,3,9.67,107.41,14.81,0,0,0,1,Indian
Anuj Rawat,129,17,124,0,0,0,9,14.33,104.03,13.71,0,0,0,10,Indian
Anureet Singh,36,3,47,18,430,636,22,1.64,76.6,6.38,8.87,35.33,23.89,5,Indian
Arshdeep Singh,23,3,36,40,803,1086,37,0.62,63.89,8.33,8.11,27.15,20.07,6,Indian
Avesh Khan,31,5,19,47,868,1190,38,0.82,163.16,26.32,8.23,25.32,18.47,6,Indian
Azhar Mahmood,388,52,311,29,552,707,23,16.87,124.76,16.72,7.68,24.38,19.03,7,Overseas
B Akhil,76,10,57,6,193,246,15,5.07,133.33,17.54,7.65,41,32.17,3,Indian
B Chipli,280,35,256,0,6,20,21,13.33,109.38,13.67,20,200000,60000,4,Indian
B Indrajith,21,2,31,0,0,0,3,7,67.74,6.45,0,0,0,1,Indian
B Kumar,241,26,259,154,3384,4064,146,1.65,93.05,10.04,7.21,26.39,21.97,24,Indian
B Laughlin,5,0,13,10,179,284,9,0.56,38.46,0,9.52,28.4,17.9,1,Overseas
B Lee,124,16,102,25,916,1126,38,3.26,121.57,15.69,7.38,45.04,36.64,8,Overseas
B Sai Sudharsan,145,17,118,0,0,0,5,29,122.88,14.41,0,0,0,1,Indian
B Stanlake,5,1,2,7,150,200,6,0.83,250,50,8,28.57,21.43,1,Overseas
B Sumanth,35,3,38,0,0,0,4,8.75,92.11,7.89,0,0,0,4,Indian
BA Bhatt,6,1,7,12,303,408,15,0.4,85.71,14.29,8.08,34,25.25,0,Indian
BA Stokes,920,111,703,28,717,1005,43,21.4,130.87,15.79,8.41,35.89,25.61,21,Overseas
BAW Mendis,3,0,6,8,248,306,10,0.3,50,0,7.4,38.25,31,1,Overseas
BB McCullum,2882,423,2272,0,0,0,109,26.44,126.85,18.62,0,0,0,38,Overseas
BB Samantray,125,15,116,0,0,0,8,15.62,107.76,12.93,0,0,0,3,Indian
BB Sran,10,0,14,18,516,767,24,0.42,71.43,0,8.92,42.61,28.67,4,Indian
BCJ Cutting,238,34,146,10,288,430,21,11.33,163.01,23.29,8.96,43,28.8,10,Overseas
BE Hendricks,1,0,3,9,157,239,7,0.14,33.33,0,9.13,26.56,17.44,3,Overseas
BJ Haddin,18,3,11,0,0,0,1,18,163.64,27.27,0,0,0,0,Overseas
BJ Hodge,1400,165,1153,17,238,310,63,22.22,121.42,14.31,7.82,18.24,14,22,Overseas
BJ Rohrer,193,26,146,0,7,12,8,24.12,132.19,17.81,10.29,120000,70000,3,Overseas
BMAJ Mendis,23,0,27,1,30,36,3,7.67,85.19,0,7.2,36,30,2,Overseas
